countryCode,code,name,level,promotionSlots,relegationSlots,foreignStarterLimit,foreignMatchSquadLimit,foreignAcquisitionSeasonLimit
ESP,LL2,セグンダ・ディビシオン,3,3,4,,8,4
FRA,FRA1,リーグ・アン,1,0,3,,15,7
FRA,FRA2,リーグ・ドゥ,3,3,0,,8,4
GER,BL,ブンデスリーガ,1,0,2,,18,9
GER,BL2,ブンデスリーガ2,3,2,3,,10,5
GRE,GRE1,ギリシャ・スーパーリーグ1,3,0,0,,10,5
ITA,SA,セリエA,1,0,3,,21,10
ITA,SB,セリエB,3,3,3,,9,4
NED,NED1,エールディヴィジ,2,0,2,,18,9
NED,NED2,エールステ・ディヴィジ,4,2,0,,10,5
NOR,NOR1,ノルウェー・プレミアディビジョン,4,0,0,,10,5
POL,POL1,ポーランド・エクストラクラサ,3,0,0,,10,5
POR,POR1,ポルトガル・プリメイラリーガ,2,0,2,,18,10
POR,POR2,ポルトガル・セグンダリーガ,4,2,0,,10,5
ROU,ROU1,ルーマニア1部リーグ,4,0,0,,10,5
RUS,RUS1,ロシア・プレミアリーグ,3,0,0,,10,5
SCO,SCO1,スコティッシュ・プレミアシップ,4,0,1,,15,7
SCO,SCO2,スコティッシュ・チャンピオンシップ,6,1,0,,8,4
SRB,SRB1,セルビア・スーパーリーグ,4,0,0,,10,5
SUI,SUI1,スイス・スーパーリーグ,3,0,0,,10,5
SWE,SWE1,アルスヴェンスカン,4,0,0,,10,5
TUR,TUR1,トルコ・スーパーリーグ,3,0,0,,10,5
UKR,UKR1,ウクライナ・プレミアリーグ,3,0,0,,10,5
CAN,CAN1,カナディアン・プレミアリーグ,4,0,0,,5,3
CRC,CRC1,コスタリカ・プリメーラ・ディビシオン,4,0,0,,5,3
MEX,MEX1,メキシコ1部リーグ,3,0,2,,9,5
MEX,MEX2,メキシコ拡張リーグ,5,2,0,,5,3
USA,USA1,MLS 1部,3,0,3,,15,8
USA,USA2,MLS 2部,4,3,0,,15,8
ARG,ARG1,アルゼンチン・プリメーラ,3,0,2,3,3,2
ARG,ARG2,アルゼンチン2部グループA,5,2,2,2,2,1
BRA,BRA1,ブラジル全国1部,3,0,4,2,2,1
BRA,BRA2,ブラジル全国2部,5,4,4,2,2,1
CHI,CHI1,チリ1部リーグ,4,0,2,6,6,3
CHI,CHI2,チリ1部Bリーグ,6,2,0,3,3,2
COL,COL1,コロンビア1部リーグ,4,0,0,3,5,3
ECU,ECU1,エクアドル・セリエA,4,0,0,3,5,3
PAR,PAR1,パラグアイ・プリメーラ・ディビシオン,4,0,0,3,5,3
PER,PER1,ペルー1部リーグ,4,0,0,3,5,3
URU,URU1,ウルグアイ1部リーグ,4,0,2,5,5,3
URU,URU2,ウルグアイ2部プロリーグ,6,2,0,5,5,3
IDN,IDN1,インドネシア・リーグ1,4,0,0,6,7,4
MAS,MSL,マレーシア・スーパーリーグ,5,0,2,6,7,4
MAS,A1,マレーシアA1セミプロリーグ,7,2,0,6,7,4
THA,TL1,タイ・リーグ1,4,0,3,5,6,4
THA,TL2,タイ・リーグ2,6,3,0,5,6,4
VIE,V1,Vリーグ1,5,0,2,4,5,3
VIE,V2,Vリーグ2,7,2,0,4,5,3
BHR,BPL,バーレーン・プレミアリーグ,5,0,2,4,5,3
BHR,BSD,バーレーン・セカンドディビジョン,7,2,0,4,5,3
IRN,PGPL,ペルシアン・ガルフ・プロリーグ,3,0,2,4,5,3
IRN,AZA,アーザーデガーンリーグ,5,2,0,4,5,3
IRQ,IST,イラク・スターズリーグ,4,0,2,4,5,3
IRQ,IFD,イラク・ファーストディビジョン,6,2,0,4,5,3
JOR,JPL,ヨルダン・プロリーグ,4,0,2,4,5,3
JOR,JFD,ヨルダン・ファーストディビジョン,6,2,0,4,5,3
KUW,KPL,クウェート・プレミアリーグ,4,0,2,4,5,3
KUW,KFD,クウェート・ファーストディビジョン,6,2,0,4,5,3
QAT,QSL,カタール・スターズリーグ,3,0,2,,10,5
QAT,QSD,カタール・セカンドディビジョン,5,2,0,,5,3
SAU,SPL,サウジ・プロリーグ,2,0,3,,10,5
SAU,SFD,サウジ・ファーストディビジョン,4,3,0,,5,3
UAE,UAEPL,UAEプロリーグ,3,0,2,,10,5
UAE,UFD,UAEファーストディビジョン,5,2,0,,5,3
