countryCode,leagueCode,name,shortName,city,primaryColor,formation,tactic,rating,developmentPower,youthPower,sponsorPower
GHA,GHA1,アドゥアナ・スターズ,アドゥアナ,ドルマー,#fbc02d,4-2-3-1,ポゼッション,30,20,20,17
GHA,GHA1,アサンテ・コトコ,アサンテ,クマシ,#fbc02d,4-4-2,堅守速攻,43,100,80,23
GHA,GHA1,ベチェム・ユナイテッド,ベチェム,ベチェム,#fbc02d,3-5-2,ハイプレス,27,20,40,17
GHA,GHA1,ベレクム・チェルシー,ベレクム,ベレクム,#fbc02d,4-3-3,バランス,30,40,40,17
GHA,GHA1,ビビアニ・ゴールドスターズ,ビビアニ,ビビアニ,#fbc02d,4-2-3-1,ポゼッション,25,40,20,17
GHA,GHA1,ボフォアクワ・タノ,ボフォアクワ,スニャニ,#fbc02d,4-4-2,堅守速攻,27,20,20,17
GHA,GHA1,ドリームズFC,ドリームズ,ドウィニャ,#fbc02d,3-5-2,ハイプレス,28,20,20,17
GHA,GHA1,FCサマルテックス,サマルテックス,サマルボイ,#fbc02d,4-3-3,バランス,34,60,40,17
GHA,GHA1,グレート・オリンピックス,オリンピックス,アクラ,#fbc02d,4-2-3-1,ポゼッション,32,60,40,17
GHA,GHA1,ハート・オブ・ライオンズ,Hライオンズ,クパンドゥ,#fbc02d,4-4-2,堅守速攻,35,60,40,17
GHA,GHA1,ハーツ・オブ・オーク,ハーツ,アクラ,#fbc02d,3-5-2,ハイプレス,41,100,80,32
GHA,GHA1,カレラFC,カレラ,タマレ,#fbc02d,4-3-3,バランス,32,40,20,17
GHA,GHA1,レゴン・シティーズ,レゴン,アクラ,#fbc02d,4-2-3-1,ポゼッション,33,60,40,17
GHA,GHA1,メデアマSC,メデアマ,タルクワ,#fbc02d,4-4-2,堅守速攻,43,80,60,17
GHA,GHA1,ネイションズFC,ネイションズ,アブランクワ,#fbc02d,3-5-2,ハイプレス,34,40,20,17
GHA,GHA1,ンソアトレマンFC,ンソアトレマン,ンソアトレ,#fbc02d,4-3-3,バランス,29,20,20,17
GHA,GHA1,リアル・タマレ,リアル・タマレ,タマレ,#fbc02d,4-2-3-1,ポゼッション,31,40,40,17
MAR,MAR1,ユースーフィア・ベルレシド,ベルレシド,ベルレシド,#f5c400,4-4-2,堅守速攻,30,20,10,33
MAR,MAR1,FARラバト,FARラバト,ラバト,#d71920,4-2-3-1,バランス,52,100,20,78
MAR,MAR1,FUSラバト,FUSラバト,ラバト,#ffffff,4-3-3,ポゼッション,36,80,80,60
MAR,MAR1,ハサニア・アガディール,アガディール,アガディール,#d71920,4-4-2,バランス,36,80,20,43
MAR,MAR1,IRタンジェ,タンジェ,タンジェ,#0057b8,4-2-3-1,堅守速攻,33,70,10,19
MAR,MAR1,JSスアレム,スアレム,スアレム,#00843d,4-4-2,堅守速攻,25,10,10,36
MAR,MAR1,マグレブ・テトゥアン,テトゥアン,テトゥアン,#ffffff,4-2-3-1,バランス,45,60,70,27
MAR,MAR1,MASフェズ,MASフェズ,フェズ,#f5c400,4-3-3,ポゼッション,33,80,20,13
MAR,MAR1,モロディア・ウジダ,ウジダ,ウジダ,#00843d,4-4-2,堅守速攻,36,70,10,46
MAR,MAR1,オリンピック・サフィ,サフィ,サフィ,#0057b8,4-2-3-1,バランス,34,60,60,13
MAR,MAR1,ラジャ・カサブランカ,ラジャ,カサブランカ,#00843d,4-3-3,ハイプレス,40,120,100,30
MAR,MAR1,ルネサンス・ゼマムラ,ゼマムラ,ゼマムラ,#f97316,4-4-2,堅守速攻,23,20,20,15
MAR,MAR1,RSベルカン,ベルカン,ベルカン,#f97316,4-2-3-1,堅守速攻,23,20,10,32
MAR,MAR1,SCCモハメディア,モハメディア,モハメディア,#d71920,4-4-2,バランス,35,60,70,49
MAR,MAR1,USトゥアルガ,トゥアルガ,ラバト,#111111,4-4-2,堅守速攻,30,20,20,24
MAR,MAR1,ウィダード・カサブランカ,ウィダード,カサブランカ,#d71920,4-2-3-1,ハイプレス,51,100,80,78
NGA,NGA1,アビア・ウォリアーズ,アビア,ウムアヒア,#2e7d32,4-3-3,バランス,35,60,40,17
NGA,NGA1,アクワ・ユナイテッド,アクワU,ウヨ,#2e7d32,4-2-3-1,ポゼッション,41,80,80,17
NGA,NGA1,バイエルサ・ユナイテッド,バイエルサ,イェナゴア,#2e7d32,4-4-2,堅守速攻,25,10,10,29
NGA,NGA1,ベンデル・インシュランス,ベンデル,ベニンシティ,#2e7d32,3-5-2,ハイプレス,35,60,40,17
NGA,NGA1,ドマ・ユナイテッド,ドマU,ゴンベ,#2e7d32,4-3-3,バランス,25,40,40,17
NGA,NGA1,エヌグ・レンジャーズ,レンジャーズIFC,エヌグ,#2e7d32,4-2-3-1,ポゼッション,39,80,60,17
NGA,NGA1,エニンバ・アバ,エニンバ,アバ,#2e7d32,4-4-2,堅守速攻,50,100,80,17
NGA,NGA1,ゴンベ・ユナイテッド,ゴンベU,ゴンベ,#2e7d32,3-5-2,ハイプレス,29,40,60,17
NGA,NGA1,ハートランドFC,ハートランド,オウェリ,#2e7d32,4-3-3,バランス,36,60,60,17
NGA,NGA1,カノ・ピラーズ,カノ,カノ,#2e7d32,4-2-3-1,ポゼッション,43,80,80,17
NGA,NGA1,カツィナ・ユナイテッド,カツィナ,カツィナ,#2e7d32,4-4-2,堅守速攻,29,60,40,17
NGA,NGA1,クワラ・ユナイテッド,クワラ,イロリン,#2e7d32,3-5-2,ハイプレス,41,60,80,17
NGA,NGA1,ロビ・スターズ,ロビ,マクルディ,#2e7d32,4-3-3,バランス,31,60,60,17
NGA,NGA1,ニジェール・トルネードス,トルネードス,ミンナ,#2e7d32,4-2-3-1,ポゼッション,33,40,40,17
NGA,NGA1,プラトー・ユナイテッド,プラトー,ジョス,#2e7d32,4-4-2,堅守速攻,36,60,60,17
NGA,NGA1,レモ・スターズ,レモ,イケンネ,#2e7d32,3-5-2,ハイプレス,45,100,100,17
NGA,NGA1,リヴァーズ・ユナイテッド,リヴァーズ,ポートハーコート,#2e7d32,4-3-3,バランス,42,80,60,17
NGA,NGA1,シューティング・スターズ,シューティング,イバダン,#2e7d32,4-2-3-1,ポゼッション,33,60,60,17
NGA,NGA1,スポルティング・ラゴス,スポルティングL,ラゴス,#2e7d32,4-4-2,堅守速攻,34,60,40,17
NGA,NGA1,サンシャイン・スターズ,サンシャイン,アクレ,#2e7d32,3-5-2,ハイプレス,34,60,80,17
RSA,RSA1,アマズール,アマズール,ダーバン,#00843d,4-4-2,バランス,36,80,70,30
RSA,RSA1,ケープタウン・シティ,ケープタウンC,ケープタウン,#0057b8,4-3-3,ポゼッション,37,100,100,50
RSA,RSA1,ケープタウン・スパーズ,ケープタウンS,ケープタウン,#d71920,4-2-3-1,ハイプレス,40,100,100,26
RSA,RSA1,チッパ・ユナイテッド,チッパ,ポートエリザベス,#0057b8,4-4-2,堅守速攻,28,10,70,43
RSA,RSA1,ゴールデン・アローズ,アローズ,ダーバン,#f5c400,4-4-2,バランス,29,70,80,19
RSA,RSA1,カイザー・チーフス,カイザー,ヨハネスブルグ,#f5c400,4-2-3-1,ポゼッション,48,160,100,60
RSA,RSA1,オーランド・パイレーツ,パイレーツ,ソウェト,#111111,4-3-3,ハイプレス,49,160,60,78
RSA,RSA1,ポロクワネ・シティ,ポロクワネ,ポロクワネ,#f97316,4-4-2,堅守速攻,29,20,70,29
RSA,RSA1,リチャーズ・ベイ,リチャーズ・ベイ,リチャーズ・ベイ,#0057b8,4-4-2,堅守速攻,39,70,20,46
RSA,RSA1,ロイヤルAM,ロイヤルAM,ダーバン,#6f2c91,4-2-3-1,バランス,44,80,20,22
RSA,RSA1,セクフネ・ユナイテッド,セクフネ,ポロクワネ,#d71920,4-2-3-1,バランス,28,60,60,39
RSA,RSA1,ステレンボッシュFC,ステレンボッシュ,ステレンボッシュ,#7a003c,4-3-3,ポゼッション,38,80,100,13
RSA,RSA1,マメロディ・サンダウンズ,サンダウンズ,プレトリア,#f5c400,4-3-3,ハイプレス,55,160,120,90
RSA,RSA1,スーパースポート・ユナイテッド,スーパースポート,プレトリア,#0057b8,4-2-3-1,バランス,37,120,100,23
RSA,RSA1,モロカ・スワローズ,スワローズ,ソウェト,#d71920,4-4-2,堅守速攻,35,70,20,25
RSA,RSA1,TSギャラクシー,TSギャラクシー,ネルスプロイト,#111111,4-4-2,バランス,40,100,60,42
SEN,SEN1,ASピキン,ピキン,ピキン,#2e7d32,4-4-2,堅守速攻,33,60,20,25
SEN,SEN1,ASCジャラーフ,ジャラーフ,ダカール,#2e7d32,3-5-2,ハイプレス,21,40,10,21
SEN,SEN1,ASCEランゲール,ランゲール,サンルイ,#2e7d32,4-3-3,バランス,29,20,10,24
SEN,SEN1,カーザ・スポーツ,カーザ,ジガンショール,#2e7d32,4-2-3-1,ポゼッション,37,60,60,26
SEN,SEN1,ダカール・サクレクール,サクレクール,ダカール,#2e7d32,4-4-2,堅守速攻,45,100,80,20
SEN,SEN1,ディアンバルスFC,ディアンバルス,サリー,#2e7d32,3-5-2,ハイプレス,46,100,120,28
SEN,SEN1,ジェネラシオン・フット,ジェネラシオン,ダカール,#2e7d32,4-3-3,バランス,47,120,160,28
SEN,SEN1,ゲジャワイFC,ゲジャワイ,ゲジャワイ,#2e7d32,4-2-3-1,ポゼッション,31,40,20,23
SEN,SEN1,ジャモノFC,ジャモノ,ファティック,#2e7d32,4-4-2,堅守速攻,23,10,10,21
SEN,SEN1,ソナコス,ソナコス,ジュルベル,#2e7d32,3-5-2,ハイプレス,20,20,20,25
SEN,SEN1,スタッド・ド・ンブール,ンブール,ンブール,#2e7d32,4-3-3,バランス,26,20,10,27
SEN,SEN1,テングエスFC,テングエス,リュフィスク,#2e7d32,4-2-3-1,ポゼッション,29,40,10,27
SEN,SEN1,USゴレ,ゴレ,ダカール,#2e7d32,4-4-2,堅守速攻,25,20,10,25
SEN,SEN1,USワカム,ワカム,ダカール,#2e7d32,3-5-2,ハイプレス,23,20,10,19
TUN,TUN1,ASマルサ,ASマルサ,ラ・マルサ,#f5c400,4-4-2,バランス,32,80,70,33
TUN,TUN1,ASソリマン,ソリマン,ソリマン,#d71920,4-4-2,堅守速攻,35,70,70,50
TUN,TUN1,ベン・ゲルダン,ベン・ゲルダン,ベン・ゲルダン,#00843d,4-2-3-1,堅守速攻,41,70,60,26
TUN,TUN1,CAビゼルト,ビゼルト,ビゼルト,#f5c400,4-4-2,バランス,32,60,80,43
TUN,TUN1,クラブ・アフリカン,アフリカン,チュニス,#d71920,4-3-3,ポゼッション,35,80,100,11
TUN,TUN1,CSスファクシアン,CSスファクス,スファックス,#111111,4-2-3-1,バランス,31,80,80,36
TUN,TUN1,EGSガフサ,ガフサ,ガフサ,#00843d,4-4-2,堅守速攻,34,70,10,12
TUN,TUN1,ESメトラウィ,メトラウィ,メトラウィ,#d71920,4-4-2,堅守速攻,30,20,20,29
TUN,TUN1,エトワール・サヘル,サヘル,スース,#d71920,4-3-3,ポゼッション,41,100,100,46
TUN,TUN1,エスペランス・チュニス,ESチュニス,チュニス,#f5c400,4-2-3-1,ハイプレス,45,120,80,60
TUN,TUN1,オリンピック・ベジャ,ベジャ,ベジャ,#d71920,4-4-2,堅守速攻,33,70,70,39
TUN,TUN1,スタッド・チュニジアン,スタッド,チュニス,#d71920,4-2-3-1,バランス,29,80,60,15
TUN,TUN1,USモナスティール,モナスティール,モナスティール,#0057b8,4-3-3,ポゼッション,39,100,60,32
TUN,TUN1,USタタウィン,タタウィン,タタウィン,#d71920,4-4-2,堅守速攻,31,60,70,49
IND,IND1,ベンガルールFC,ベンガルール,ベンガルール,#005baa,4-2-3-1,バランス,32,80,80,35
IND,IND1,チェンナイインFC,チェンナイイン,チェンナイ,#005baa,4-4-2,堅守速攻,25,60,60,14
IND,IND1,イースト・ベンガルFC,Eベンガル,コルカタ,#d71920,4-3-3,ハイプレス,33,80,60,32
IND,IND1,FCゴア,ゴア,ゴア,#f58220,4-2-3-1,ポゼッション,29,80,80,30
IND,IND1,ハイデラバードFC,ハイデラバード,ハイデラバード,#f4c542,4-4-2,堅守速攻,33,60,60,27
IND,IND1,ジャムシェードプルFC,ジャムシェードプル,ジャムシェードプル,#d71920,4-3-3,バランス,29,60,60,11
IND,IND1,ケーララ・ブラスターズFC,ケーララ,コチ,#f4c542,4-2-3-1,ハイプレス,29,80,80,44
IND,IND1,モフン・バガン・スーパー・ジャイアント,モフン・バガン,コルカタ,#00843d,4-3-3,ポゼッション,34,100,80,60
IND,IND1,ムンバイ・シティFC,ムンバイC,ムンバイ,#6bb6ff,4-3-3,ハイプレス,37,100,80,100
IND,IND1,ノースイースト・ユナイテッドFC,ノースイーストU,グワーハーティー,#d71920,4-4-2,堅守速攻,23,40,40,29
IND,IND1,オディシャFC,オディシャ,ブバネーシュワル,#7a003c,4-2-3-1,バランス,40,80,60,78
IND,IND1,パンジャーブFC,パンジャーブ,ニューデリー,#111111,4-4-2,堅守速攻,32,40,40,78
UZB,USL,ブニョドコル・タシュケント,ブニョドコル,タシュケント,#16a34a,4-2-3-1,バランス,44,100,140,115
UZB,USL,ディナモ・サマルカンド,ディナモ,サマルカンド,#2563eb,4-2-3-1,バランス,51,100,100,100
UZB,USL,ブハラ,ブハラ,ブハラ,#f97316,4-4-2,堅守速攻,34,80,60,78
UZB,USL,コーカンド1912,コーカンド1912,コーカンド,#dc2626,4-4-2,堅守速攻,39,80,60,78
UZB,USL,エー・ジー・エム・ケー,エージーエムケー,アルマリク,#f97316,4-3-3,サイド攻撃,46,100,120,115
UZB,USL,マシュアル,マシュアル,ムバレク,#111827,4-3-3,ハイプレス,36,80,60,78
UZB,USL,ナサフ・カルシ,ナサフ,カルシ,#2563eb,4-3-3,ハイプレス,52,120,120,130
UZB,USL,ナフバホール・ナマンガン,ナフバホール,ナマンガン,#2563eb,4-4-2,堅守速攻,46,100,100,115
UZB,USL,ネフチ・フェルガナ,ネフチ,フェルガナ,#facc15,4-2-3-1,バランス,47,100,100,126
UZB,USL,パフタコール・タシュケント,パフタコール,タシュケント,#facc15,4-2-3-1,ポゼッション,58,140,140,138
UZB,USL,キジルクム・ザラフシャン,キジルクム,ザラフシャン,#dc2626,4-4-2,堅守速攻,39,80,80,90
UZB,USL,ソグディアナ・ジザフ,ソグディアナ,ジザフ,#0ea5e9,4-3-3,ハイプレス,52,100,80,108
UZB,USL,スルホン・テルメズ,スルホン,テルメズ,#dc2626,4-2-3-1,バランス,40,80,60,90
UZB,USL,ロコモティフ・タシュケント,ロコモティフ,タシュケント,#dc2626,4-4-2,堅守速攻,45,80,80,130
UZB,USL,オリンピック・モビUZ・タシュケント,オリンピックM,タシュケント,#2563eb,4-3-3,ポゼッション,39,80,120,75
UZB,USL,オリンピック・タシュケント,オリンピック,タシュケント,#2563eb,4-3-3,ポゼッション,33,60,100,70
UZB,UZFD,アンディジャン,アンディジャン,アンディジャン,#16a34a,4-2-3-1,バランス,35,100,80,108
UZB,UZFD,ショルタン・グザル,ショルタン,グザル,#16a34a,4-2-3-1,バランス,26,60,60,60
UZB,UZFD,ホラズム・ウルゲンチ,ホラズム,ウルゲンチ,#7c3aed,4-4-2,堅守速攻,35,80,60,78
UZB,UZFD,フェルガナ,フェルガナ,フェルガナ,#16a34a,4-2-3-1,バランス,31,60,60,48
UZB,UZFD,ジャイフン・ヌクス,ジャイフン,ヌクス,#0ea5e9,4-4-2,堅守速攻,33,60,60,43
UZB,UZFD,アラル2022ヌクス,アラル2022,ヌクス,#7c3aed,4-2-3-1,バランス,28,60,40,70
AUS,AUS1,アデレード・ユナイテッド,アデレード,アデレード,#d71920,4-3-3,ハイプレス,59,120,120,100
AUS,AUS1,ブリスベン・ロアー,ブリスベン,ブリスベン,#f58220,4-4-2,堅守速攻,37,100,80,38
AUS,AUS1,セントラルコースト・マリナーズ,CCマリナーズ,ゴスフォード,#f4c542,4-2-3-1,ハイプレス,58,140,140,24
AUS,AUS1,マッカーサーFC,マッカーサー,シドニー,#111111,4-3-3,バランス,47,80,60,48
AUS,AUS1,メルボルン・シティ,メルボルンC,メルボルン,#6bb6ff,4-3-3,ポゼッション,65,160,120,104
AUS,AUS1,メルボルン・ビクトリー,メルボルンV,メルボルン,#005baa,4-2-3-1,ハイプレス,55,120,100,60
AUS,AUS1,ニューカッスル・ジェッツ,ニューカッスルJ,ニューカッスル,#005baa,4-4-2,堅守速攻,50,100,80,28
AUS,AUS1,パース・グローリー,パース,パース,#7a003c,4-2-3-1,バランス,35,60,40,30
AUS,AUS1,シドニーFC,シドニーFC,シドニー,#005baa,4-3-3,ポゼッション,57,120,80,100
AUS,AUS1,ウェリントン・フェニックス,ウェリントン,ウェリントン,#f4c542,4-2-3-1,バランス,47,120,120,60
AUS,AUS1,ウェスタン・シドニー・ワンダラーズ,WSワンダラーズ,シドニー,#d71920,4-4-2,堅守速攻,56,120,80,78
AUS,AUS1,ウェスタン・ユナイテッド,ウェスタンU,メルボルン,#00843d,4-3-3,バランス,53,120,100,92
CHN,CSL,北京国安,北京国安,北京,#16a34a,4-3-3,ポゼッション,43,100,100,130
CHN,CSL,成都蓉城,成都蓉城,成都,#dc2626,3-4-2-1,ハイプレス,40,100,60,134
CHN,CSL,長春亜泰,長春亜泰,長春,#dc2626,4-4-2,堅守速攻,46,120,80,115
CHN,CSL,大連プロ,大連プロ,大連,#2563eb,4-4-2,バランス,35,100,80,30
CHN,CSL,河南FC,河南,鄭州,#dc2626,4-4-2,堅守速攻,39,60,40,108
CHN,CSL,青島海牛,青島海牛,青島,#0ea5e9,4-4-2,堅守速攻,40,60,40,60
CHN,CSL,上海海港,上海海港,上海,#dc2626,4-2-3-1,ポゼッション,45,100,60,182
CHN,CSL,上海申花,上海申花,上海,#2563eb,4-2-3-1,堅守速攻,48,120,60,108
CHN,CSL,山東泰山,山東泰山,済南,#f97316,4-4-2,サイド攻撃,55,140,100,160
CHN,CSL,深圳FC,深圳,深圳,#06b6d4,4-3-3,バランス,26,80,40,30
CHN,CSL,天津津門虎,天津津門虎,天津,#2563eb,4-2-3-1,バランス,37,80,20,30
CHN,CSL,武漢三鎮,武漢三鎮,武漢,#0ea5e9,4-3-3,ハイプレス,30,60,40,108
CHN,CSL,浙江FC,浙江,杭州,#16a34a,4-3-3,ポゼッション,43,100,80,126
CHN,CSL,広州FC,広州,広州,#dc2626,4-3-3,ポゼッション,26,60,40,47
CHN,CSL,黒竜江氷城,黒竜江,ハルビン,#111827,4-4-2,バランス,31,20,20,112
CHN,CSL,四川九牛,四川九牛,成都,#06b6d4,4-3-3,バランス,35,40,20,76
CHN,CL1,滄州雄獅,滄州雄獅,滄州,#1d4ed8,4-4-2,堅守速攻,25,20,20,100
CHN,CL1,梅州客家,梅州客家,梅州,#7c2d12,4-2-3-1,サイド攻撃,29,60,20,30
CHN,CL1,南通支雲,南通支雲,南通,#2563eb,4-2-3-1,バランス,22,20,20,30
CHN,CL1,丹東騰躍,丹東騰躍,丹東,#dc2626,4-2-3-1,堅守速攻,19,20,20,20
CHN,CL1,東莞莞聯,東莞莞聯,東莞,#f97316,4-3-3,バランス,23,20,20,56
CHN,CL1,広西平果哈嘹,広西平果,平果,#dc2626,4-3-3,サイド攻撃,17,20,20,82
CHN,CL1,済南興洲,済南興洲,済南,#2563eb,4-2-3-1,バランス,19,20,20,35
CHN,CL1,江西廬山,江西廬山,九江,#16a34a,4-4-2,堅守速攻,26,20,20,82
CHN,CL1,遼寧瀋陽城市,遼寧瀋陽,瀋陽,#ef4444,4-4-2,堅守速攻,21,20,20,46
CHN,CL1,南京城市,南京城市,南京,#dc2626,4-2-3-1,バランス,23,20,20,56
CHN,CL1,青島西海岸,青島西海岸,青島,#f59e0b,4-2-3-1,バランス,22,20,20,47
CHN,CL1,上海嘉定匯龍,上海嘉定,上海,#1d4ed8,4-2-3-1,バランス,19,20,20,56
CHN,CL1,石家荘功夫,石家荘,石家荘,#2563eb,4-2-3-1,バランス,24,20,20,19
CHN,CL1,蘇州東呉,蘇州東呉,蘇州,#0ea5e9,4-4-2,堅守速攻,21,20,20,11
CHN,CL1,無錫呉鉤,無錫呉鉤,無錫,#dc2626,4-2-3-1,バランス,17,20,20,18
CHN,CL1,延辺龍鼎,延辺龍鼎,延吉,#dc2626,4-2-3-1,ハイプレス,23,40,40,23
HKG,HPL,東方,東方,香港,#dc2626,4-4-2,バランス,19,40,40,60
HKG,HPL,香港FC,香港FC,香港,#7c3aed,4-3-3,ポゼッション,24,60,40,39
HKG,HPL,傑志,傑志,香港,#2563eb,4-3-3,ポゼッション,26,80,40,78
HKG,HPL,理文,理文,香港,#facc15,4-2-3-1,ハイプレス,18,60,40,78
HKG,HPL,深水埗,深水埗,深水埗,#2563eb,4-4-2,堅守速攻,20,20,20,11
HKG,HPL,和富大埔,大埔,大埔,#16a34a,4-2-3-1,堅守速攻,14,20,20,28
HKG,HPL,中西区,中西区,香港,#facc15,4-3-3,サイド攻撃,18,20,20,21
HKG,HPL,九龍城,九龍城,九龍,#111827,4-4-2,堅守速攻,22,20,20,17
HKG,HPL,西貢,西貢,西貢,#0ea5e9,4-4-2,堅守速攻,14,20,20,8
HKG,HPL,南華,南華,香港,#dc2626,4-3-3,ポゼッション,21,60,20,30
HKG,HPL,永義,永義,香港,#f97316,4-4-2,堅守速攻,16,20,20,15
HKG,HFD,標準流浪,流浪,香港,#111827,4-4-2,堅守速攻,14,20,40,25
HKG,HFD,香港ユナイテッド,香港U,香港,#0ea5e9,4-2-3-1,バランス,12,20,40,47
HKG,HFD,北区,北区,北区,#f97316,4-2-3-1,バランス,13,20,20,25
HKG,HFD,晋峰,晋峰,香港,#16a34a,4-3-3,バランス,14,20,20,15
HKG,HFD,南区,南区,香港仔,#0ea5e9,4-3-3,サイド攻撃,14,20,20,21
HKG,HFD,三昇,三昇,香港,#dc2626,4-2-3-1,バランス,14,20,20,17
HKG,HFD,公民,公民,香港,#0ea5e9,4-4-2,堅守速攻,13,20,20,11
HKG,HFD,東区,東区,香港,#dc2626,4-2-3-1,バランス,12,20,20,29
HKG,HFD,凱景,凱景,香港,#2563eb,4-3-3,バランス,13,20,20,23
HKG,HFD,元朗,元朗,元朗,#dc2626,4-2-3-1,バランス,13,20,20,20
HKG,HFD,沙田,沙田,沙田,#16a34a,4-2-3-1,バランス,17,20,20,29
HKG,HFD,黄大仙,黄大仙,九龍,#f97316,4-3-3,ハイプレス,19,20,20,23
JPN,J1,セレッソ大阪,C大阪,大阪,#ec407a,4-4-2,バランス,68,140,100,130
JPN,J1,FC東京,FC東京,東京,#0d47a1,4-3-3,ポゼッション,70,140,120,162
JPN,J1,鹿島アントラーズ,鹿島,茨城,#b71c1c,4-2-3-1,バランス,71,140,120,166
JPN,J1,ヴィッセル神戸,神戸,兵庫,#7b1f1f,4-3-3,ポゼッション,61,140,100,130
JPN,J1,京都サンガF.C.,京都,京都,#6a1b9a,4-2-3-1,バランス,61,140,140,120
JPN,J1,名古屋グランパス,名古屋,愛知,#d32f2f,3-4-2-1,堅守速攻,62,140,120,134
JPN,J1,北海道コンサドーレ札幌,札幌,北海道,#d32f2f,3-4-2-1,バランス,59,140,120,145
JPN,J1,湘南ベルマーレ,湘南,神奈川,#43a047,3-4-2-1,ハイプレス,54,120,100,126
JPN,J1,浦和レッズ,浦和,埼玉,#c62828,4-2-3-1,ハイプレス,70,160,120,134
JPN,J1,横浜F・マリノス,横浜FM,神奈川,#1565c0,4-3-3,ハイプレス,66,160,120,108
JPN,J1,ジェフユナイテッド千葉,千葉,千葉,#f9a825,4-2-3-1,ハイプレス,72,140,120,173
JPN,J1,いわきFC,いわき,福島,#c62828,4-3-3,ハイプレス,64,160,60,82
JPN,J1,大分トリニータ,大分,大分,#1565c0,3-4-2-1,バランス,70,120,100,130
JPN,J1,大宮アルディージャ,大宮,埼玉,#f57c00,4-4-2,バランス,60,120,100,173
JPN,J1,ベガルタ仙台,仙台,宮城,#f9a825,4-4-2,バランス,87,120,100,178
JPN,J1,徳島ヴォルティス,徳島,徳島,#1565c0,4-3-3,バランス,71,120,100,167
JPN,J1,東京ヴェルディ,東京V,東京,#00796b,4-3-3,ポゼッション,69,120,120,143
JPN,J1,愛媛FC,愛媛,愛媛,#f57c00,4-4-2,バランス,50,100,100,82
